Transaction_Date,Date_ID,Week_ID,Week_Desc,Month_ID,Month_Name,Quarter_ID,Quarter_Name,Year_ID,Week_Year
2017-01-01,20170101,1,Week 1,1,January,1,Q1,2017,Week 1-2017
2017-01-02,20170102,1,Week 1,1,January,1,Q1,2017,Week 1-2017
2017-01-03,20170103,1,Week 1,1,January,1,Q1,2017,Week 1-2017
2017-01-04,20170104,1,Week 1,1,January,1,Q1,2017,Week 1-2017
2017-01-05,20170105,1,Week 1,1,January,1,Q1,2017,Week 1-2017
2017-01-06,20170106,1,Week 1,1,January,1,Q1,2017,Week 1-2017
2017-01-07,20170107,1,Week 1,1,January,1,Q1,2017,Week 1-2017
2017-01-08,20170108,2,Week 2,1,January,1,Q1,2017,Week 2-2017
2017-01-09,20170109,2,Week 2,1,January,1,Q1,2017,Week 2-2017
2017-01-10,20170110,2,Week 2,1,January,1,Q1,2017,Week 2-2017
2017-01-11,20170111,2,Week 2,1,January,1,Q1,2017,Week 2-2017
2017-01-12,20170112,2,Week 2,1,January,1,Q1,2017,Week 2-2017
2017-01-13,20170113,2,Week 2,1,January,1,Q1,2017,Week 2-2017
2017-01-14,20170114,2,Week 2,1,January,1,Q1,2017,Week 2-2017
2017-01-15,20170115,3,Week 3,1,January,1,Q1,2017,Week 3-2017
2017-01-16,20170116,3,Week 3,1,January,1,Q1,2017,Week 3-2017
2017-01-17,20170117,3,Week 3,1,January,1,Q1,2017,Week 3-2017
2017-01-18,20170118,3,Week 3,1,January,1,Q1,2017,Week 3-2017
2017-01-19,20170119,3,Week 3,1,January,1,Q1,2017,Week 3-2017
2017-01-20,20170120,3,Week 3,1,January,1,Q1,2017,Week 3-2017
2017-01-21,20170121,3,Week 3,1,January,1,Q1,2017,Week 3-2017
2017-01-22,20170122,4,Week 4,1,January,1,Q1,2017,Week 4-2017
2017-01-23,20170123,4,Week 4,1,January,1,Q1,2017,Week 4-2017
2017-01-24,20170124,4,Week 4,1,January,1,Q1,2017,Week 4-2017
2017-01-25,20170125,4,Week 4,1,January,1,Q1,2017,Week 4-2017
2017-01-26,20170126,4,Week 4,1,January,1,Q1,2017,Week 4-2017
2017-01-27,20170127,4,Week 4,1,January,1,Q1,2017,Week 4-2017
